Incident Number,Short Description,Description,Category,Subcategory,Priority,State,Assigned To,Created Date,Resolution Notes,Affected Upstream,Affected Downstream,Connectivity Information
INC1000387,System crash after update,System crashed after applying latest OS update. Issue needs rollback or fix.,Database,Timeout,Low,On Hold,Cory Morton,2024-11-26,Help home whatever pass.,API Gateway,Data Warehouse,No connectivity issues detected.
INC1000388,Firewall policy misconfiguration,Security logs indicate an unauthorized login attempt from an unknown IP address.,Hardware,Monitor,Low,Cancelled,Melinda Harris,2024-11-11,Five morning job me road party wonder pull.,API Gateway,General User Interface,High latency observed
INC1000389,please unlock & reset windows password for dfrt user kreghtmph,please unlock & reset windows password for dfrt user kreghtmph,Software,Operating System,Medium,Cancelled,John Jones,2024-10-03,New first view act agent.,Database Cluster A,Mobile App,No connectivity issues detected
INC1000390,Phishing email received,System crashed after applying latest OS update. Issue needs rollback or fix.,Software,Application Access,High,Cancelled,Steven Roberts,2024-07-30,Direction property leg position.,Messaging Queue,Reporting Engine,No connectivity issues detected
INC1000391,"

received from: yfqoaepn.xnezhsit@gmail.com

hello,

till last week i was accessing bex reports using mms portal and there were no issues.

starting this week the system is incredibly slow when i log in and finally does not allow me to access any reports.

can it be the issue with any maintenance or my access rights or rather i should try to access bex using different way?

below the print screen from what i see after log in:
[cid:image001.png@01d2310c.f184b360]

i am also able to get to finance reports (see below), however when i click ""profitability analysis"" (as i was always doing) separate window is open however apart rom that the screen is blank.
[cid:image002.png@01d2310c.f184b360]


i appreciate your support.

have a great day â˜º

robhyertyj


yfqoaepn xnezhsit
managing director
finance manager cee
yfqoaepn.xnezhsit@gmail.com<mailto:yfqoaepn.xnezhsit@gmail.com>
tel:+48(61)7767671
mob:+48 694 425 760

company polska sp. z o.o. , ul. krzywoustego 7, 61-144 poznaÅ„, www.company.com<

company polska sp. z o.o. z siedzibÄ… w polandiu, 61-144 poznaÅ„, ul. krzywoustego 7.
spÃ³Å‚ka zarejestrowana w sÄ…dzie rejonowym poznaÅ„-nowe miasto i wilda w polandiu, wydziaÅ‚ viii gospodarczy krs pod numerem 1111286691.
kapitaÅ‚ zakÅ‚adowy 100 000 pln, nip 954-20-87-982.





","

received from: yfqoaepn.xnezhsit@gmail.com

hello,

till last week i was accessing bex reports using mms portal and there were no issues.

starting this week the system is incredibly slow when i log in and finally does not allow me to access any reports.

can it be the issue with any maintenance or my access rights or rather i should try to access bex using different way?

below the print screen from what i see after log in:
[cid:image001.png@01d2310c.f184b360]

i am also able to get to finance reports (see below), however when i click ""profitability analysis"" (as i was always doing) separate window is open however apart rom that the screen is blank.
[cid:image002.png@01d2310c.f184b360]


i appreciate your support.

have a great day â˜º

robhyertyj


yfqoaepn xnezhsit
managing director
finance manager cee
yfqoaepn.xnezhsit@gmail.com<mailto:yfqoaepn.xnezhsit@gmail.com>
tel:+48(61)7767671
mob:+48 694 425 760

company polska sp. z o.o. , ul. krzywoustego 7, 61-144 poznaÅ„, www.company.com<

company polska sp. z o.o. z siedzibÄ… w polandiu, 61-144 poznaÅ„, ul. krzywoustego 7.
spÃ³Å‚ka zarejestrowana w sÄ…dzie rejonowym poznaÅ„-nowe miasto i wilda w polandiu, wydziaÅ‚ viii gospodarczy krs pod numerem 1111286691.
kapitaÅ‚ zakÅ‚adowy 100 000 pln, nip 954-20-87-982.





",Security,Malware,Low,On Hold,Anthony Romero,2024-10-26,Issue resolved following standard procedures.,API Gateway,Frontend Portal,Complete network outage
INC1000392,Laptop not powering on,Suspicious phishing email received with a link to an unknown site. Needs investigation.,Hardware,Desktop,High,Resolved,Anthony Romero,2024-05-29,Firm direction traditional husband.,General System,General User Interface,No connectivity issues detected.
INC1000393,Slow application performance,Application response time has significantly degraded. Users facing performance issues.,Hardware,Monitor,Low,Cancelled,Heidi Clark,2024-09-16,Will single individual man.,Authentication Server,Reporting Engine,No connectivity issues detected
INC1000394,"

received from: mnxbeuso.rfmdlwuo@gmail.com

dac / gso â€“

basis on-call details has been modified and the modified is placed in the below location in the collaboration_platform. please update your records accordingly.



","

received from: mnxbeuso.rfmdlwuo@gmail.com

dac / gso â€“

basis on-call details has been modified and the modified is placed in the below location in the collaboration_platform. please update your records accordingly.



",Database,Timeout,Critical,Cancelled,James Campbell,2024-10-26,Million never economy century anyone.,Database Cluster A,Frontend Portal,VPN connectivity unstable
INC1000395,Laptop not powering on,Suspicious phishing email received with a link to an unknown site. Needs investigation.,Hardware,Monitor,Critical,Closed,Andrew Davis,2024-07-22,Star or church TV night.,Messaging Queue,Reporting Engine,Firewall blocking traffic
INC1000396,"received from: monitoring_tool@company.com

job Job_3028 failed in job_scheduler at: 08/26/2016 00:02:00","received from: monitoring_tool@company.com

job Job_3028 failed in job_scheduler at: 08/26/2016 00:02:00",Database,Connection Issue,Low,Cancelled,Heidi Clark,2024-05-16,Personal cut peace friend do.,Database Cluster A,Data Warehouse,No connectivity issues detected.
INC1000397,Unauthorized access attempt detected,Application response time has significantly degraded. Users facing performance issues.,Network,Switch,Medium,On Hold,Mary Lamb,2024-04-07,Yes past about character.,API Gateway,Data Warehouse,No connectivity issues detected.
INC1000398,"i cannot print at all the status of the printers i have mapped to are all ""need driver update"". however, when i try to update the driver it will not update it, but quits half way through the installation. ","i cannot print at all the status of the printers i have mapped to are all ""need driver update"". however, when i try to update the driver it will not update it, but quits half way through the installation. ",Software,Operating System,Critical,Cancelled,Joseph Chandler,2024-07-17,Husband threat chance picture political heart people.,API Gateway,General User Interface,Complete network outage
INC1000399,plant germany can not log in.+,plant germany can not log in.+,Hardware,Laptop,Low,Cancelled,James Campbell,2024-11-09,Issue resolved following standard procedures.,Authentication Server,Data Warehouse,No connectivity issues detected.
INC1000400,Database connection timeout,System crashed after applying latest OS update. Issue needs rollback or fix.,Database,Timeout,High,In Progress,Luis Simon,2024-09-19,Number international idea that fly five reality leader.,Messaging Queue,Data Warehouse,Intermittent network drops
INC1000401,Email delivery issue reported,Suspicious phishing email received with a link to an unknown site. Needs investigation.,Network,Internet,Medium,Resolved,Heidi Clark,2025-01-17,Create onto property.,Authentication Server,Frontend Portal,Complete network outage
INC1000402,"HostName_1132:oracle finance_app financial management - web tier (epmsystem2) - service monitor(down)
HostName_1132:oracle finance_app financial management - java server (epmsystem2) - service monitor","HostName_1132:oracle finance_app financial management - web tier (epmsystem2) - service monitor(down)
HostName_1132:oracle finance_app financial management - java server (epmsystem2) - service monitor",Database,Performance,Low,Resolved,Anthony Romero,2024-06-05,Group show carry risk human.,Database Cluster A,Data Warehouse,VPN connectivity unstable
INC1000403,Firewall policy misconfiguration,Security logs indicate an unauthorized login attempt from an unknown IP address.,Network,Switch,Medium,Resolved,Elizabeth Ramos,2024-09-08,Issue resolved following standard procedures.,API Gateway,Frontend Portal,High latency observed
INC1000404,"received from: monitoring_tool@company.com

job SID_26cold failed in job_scheduler at: 10/29/2016 18:11:00","received from: monitoring_tool@company.com

job SID_26cold failed in job_scheduler at: 10/29/2016 18:11:00",Security,Phishing,Critical,In Progress,Billy Davis,2025-02-21,Participant should down go though.,Database Cluster A,Data Warehouse,Firewall blocking traffic
INC1000405,Firewall policy misconfiguration,Security logs indicate an unauthorized login attempt from an unknown IP address.,Software,Email,Medium,New,Andrea White,2024-10-01,Left why trouble when.,API Gateway,Reporting Engine,No connectivity issues detected.
INC1000406,Phishing email received,Application response time has significantly degraded. Users facing performance issues.,Network,Internet,Low,Cancelled,Dr. Melissa Mccoy,2025-02-21,Week board contain organization.,API Gateway,Mobile App,No connectivity issues detected
INC1000407,Database connection timeout,Printer is not responding to print commands. Restarting the printer did not resolve the issue.,Security,Policy Violation,High,New,Andrea White,2024-05-26,Similar ago environmental various office.,Authentication Server,Reporting Engine,No connectivity issues detected.
INC1000408,Firewall policy misconfiguration,Application response time has significantly degraded. Users facing performance issues.,Security,Malware,Low,Closed,Charles Stevens,2024-09-21,Miss paper medical thank.,Messaging Queue,Mobile App,No connectivity issues detected.
INC1000409,Phishing email received,Suspicious phishing email received with a link to an unknown site. Needs investigation.,Hardware,Laptop,Low,New,Rebecca Lewis,2024-10-09,Issue resolved following standard procedures.,Messaging Queue,Mobile App,No connectivity issues detected.
INC1000410,System crash after update,Security logs indicate an unauthorized login attempt from an unknown IP address.,Network,VPN,Critical,Resolved,Heidi Clark,2024-05-04,Issue resolved following standard procedures.,Authentication Server,Frontend Portal,Firewall blocking traffic
INC1000411,Printer not responding,Database connections are timing out frequently. Impacting multiple users.,Database,Backup Failure,Low,Resolved,Luis Simon,2024-06-14,Friend everybody walk ability.,Authentication Server,Mobile App,No connectivity issues detected.
INC1000412,Slow application performance,Database connections are timing out frequently. Impacting multiple users.,Hardware,Monitor,Medium,Resolved,William Rodgers,2025-03-20,Perform this board.,Messaging Queue,General User Interface,Intermittent network drops
INC1000413,Database connection timeout,Laptop does not boot up. Power button unresponsive even after multiple attempts.,Network,Internet,Medium,Resolved,Jamie Ford,2024-11-28,Car place project final per.,Authentication Server,Reporting Engine,VPN connectivity unstable
INC1000414,System crash after update,System crashed after applying latest OS update. Issue needs rollback or fix.,Software,Operating System,Critical,Cancelled,Melanie Vazquez,2024-04-22,College next cover try media.,General System,Mobile App,No connectivity issues detected.
INC1000415,Email delivery issue reported,Security logs indicate an unauthorized login attempt from an unknown IP address.,Security,Unauthorized Access,Critical,Closed,Melinda Harris,2024-10-06,Republican operation reason talk study third to nice.,Database Cluster A,Data Warehouse,No connectivity issues detected
INC1000416,"hello,

can you please support here.

we are unable to clear this inwarehouse_tool from vfx3.

we need help as this is a high value inwarehouse_tool which we cannot clear.

","hello,

can you please support here.

we are unable to clear this inwarehouse_tool from vfx3.

we need help as this is a high value inwarehouse_tool which we cannot clear.

",Database,Performance,Low,Resolved,Taylor Garner,2024-10-31,Source area officer great.,Database Cluster A,Reporting Engine,No connectivity issues detected.
INC1000417,Slow application performance,Security logs indicate an unauthorized login attempt from an unknown IP address.,Database,Backup Failure,Low,Cancelled,Andrew Henry,2024-04-20,Word dream executive perform from us office.,Database Cluster A,Frontend Portal,No connectivity issues detected
INC1000418,Email delivery issue reported,Application response time has significantly degraded. Users facing performance issues.,Software,Application Access,Critical,Resolved,<function <lambda> at 0x7eb3c62986d0>,2024-11-12,Beautiful about look herself according spend different.,API Gateway,Mobile App,VPN connectivity unstable
INC1000419,vuxdrbng owqplduj : s1- k1,vuxdrbng owqplduj : s1- k1,Database,Backup Failure,Medium,Closed,Joshua Wilkerson,2024-09-10,Technology authority quite inside movie.,Messaging Queue,Data Warehouse,No connectivity issues detected.
INC1000420,System crash after update,"User reported being unable to connect to the VPN from remote location. Verified credentials, but issue persists.",Security,Malware,High,In Progress,Derrick Nunez,2024-11-03,Score claim forward affect.,API Gateway,Data Warehouse,No connectivity issues detected.
INC1000421,Email delivery issue reported,Laptop does not boot up. Power button unresponsive even after multiple attempts.,Database,Performance,Low,On Hold,Gerald Johnson,2025-01-05,Issue resolved following standard procedures.,Database Cluster A,Frontend Portal,Complete network outage
INC1000422,Laptop not powering on,Database connections are timing out frequently. Impacting multiple users.,Software,Email,High,Cancelled,April Robertson,2025-03-13,Issue resolved following standard procedures.,API Gateway,Mobile App,Complete network outage
INC1000423,Laptop not powering on,Application response time has significantly degraded. Users facing performance issues.,Database,Backup Failure,Low,On Hold,Anthony Romero,2024-05-28,Increase reflect quickly world ahead.,Database Cluster A,Frontend Portal,No connectivity issues detected
INC1000424,Phishing email received,System crashed after applying latest OS update. Issue needs rollback or fix.,Hardware,Printer,Low,Closed,Susan Torres,2024-07-15,Eat scientist organization.,Database Cluster A,General User Interface,Intermittent network drops
INC1000425,Laptop not powering on,Suspicious phishing email received with a link to an unknown site. Needs investigation.,Hardware,Desktop,Medium,Closed,Cory Morton,2024-08-26,Star receive order.,Authentication Server,General User Interface,Firewall blocking traffic
INC1000426,User unable to access VPN,"User reported being unable to connect to the VPN from remote location. Verified credentials, but issue persists.",Database,Connection Issue,Critical,Resolved,Melinda Harris,2025-01-11,Issue resolved following standard procedures.,Messaging Queue,Mobile App,High latency observed
INC1000427,"laptop is over heating,  left side usb and audio output plug also not working, system is slow","laptop is over heating,  left side usb and audio output plug also not working, system is slow",Network,Firewall,Low,On Hold,Andrea White,2025-03-11,Article decade maintain back.,Database Cluster A,Frontend Portal,No connectivity issues detected.
INC1000428,Slow application performance,Misconfigured firewall rules are blocking internal traffic. Needs urgent review.,Security,Phishing,Low,Resolved,Justin Sweeney,2024-12-22,Issue resolved following standard procedures.,Firewall System,Mobile App,No connectivity issues detected.
INC1000429,"from: rjsulvat uanigkqc 
sent: monday, october 24, 2016 7:36 pm
to: nwfodmhc exurcwkm
subject: thadasgg fwd: problem with outlook

it is again

 
 
Ð¾Ñ‚Ð¿Ñ€Ð°Ð²Ð»ÐµÐ½Ð¾ Ñ iphone

Ð½Ð°Ñ‡Ð°Ð»Ð¾ Ð¿ÐµÑ€ÐµÐ°Ð´Ñ€ÐµÑÐ¾Ð²Ð°Ð½Ð½Ð¾Ð³Ð¾ ÑÐ¾Ð¾Ð±Ñ‰ÐµÐ½Ð¸Ñ:
Ð¾Ñ‚: ""rjsulvat uanigkqc"" <rjsulvat.uanigkqc@gmail.com>
ÐºÐ¾Ð¼Ñƒ: ""nwfodmhc exurcwkm"" <nwfodmhc.exurcwkm@gmail.com>
Ñ‚ÐµÐ¼Ð°: problem with outlook
hello.

i cannot start outlook
 

 

Ð¾Ñ‚Ð¿Ñ€Ð°Ð²Ð»ÐµÐ½Ð¾ Ñ iphone


","from: rjsulvat uanigkqc 
sent: monday, october 24, 2016 7:36 pm
to: nwfodmhc exurcwkm
subject: thadasgg fwd: problem with outlook

it is again

 
 
Ð¾Ñ‚Ð¿Ñ€Ð°Ð²Ð»ÐµÐ½Ð¾ Ñ iphone

Ð½Ð°Ñ‡Ð°Ð»Ð¾ Ð¿ÐµÑ€ÐµÐ°Ð´Ñ€ÐµÑÐ¾Ð²Ð°Ð½Ð½Ð¾Ð³Ð¾ ÑÐ¾Ð¾Ð±Ñ‰ÐµÐ½Ð¸Ñ:
Ð¾Ñ‚: ""rjsulvat uanigkqc"" <rjsulvat.uanigkqc@gmail.com>
ÐºÐ¾Ð¼Ñƒ: ""nwfodmhc exurcwkm"" <nwfodmhc.exurcwkm@gmail.com>
Ñ‚ÐµÐ¼Ð°: problem with outlook
hello.

i cannot start outlook
 

 

Ð¾Ñ‚Ð¿Ñ€Ð°Ð²Ð»ÐµÐ½Ð¾ Ñ iphone


",Software,Operating System,High,On Hold,April Robertson,2024-09-26,Paper center idea material exactly base story test.,General System,Reporting Engine,Intermittent network drops
INC1000430,Phishing email received,System crashed after applying latest OS update. Issue needs rollback or fix.,Security,Policy Violation,Critical,Resolved,Kimberly Valenzuela,2024-06-11,Arrive give movie ever view both quickly.,Messaging Queue,Reporting Engine,No connectivity issues detected.
INC1000431,Slow application performance,Emails are being delayed or not delivered. Users experiencing intermittent issues.,Security,Phishing,High,Closed,Douglas Tyler,2025-01-27,Matter two develop yes number.,Messaging Queue,Reporting Engine,No connectivity issues detected.
INC1000432,erp-powder interface not working.  ,erp-powder interface not working.  ,Security,Policy Violation,Low,New,Charles Stevens,2024-06-15,Part ahead perhaps again.,Authentication Server,Reporting Engine,Packet loss detected
INC1000433,Printer not responding,Printer is not responding to print commands. Restarting the printer did not resolve the issue.,Network,Firewall,Low,New,<function <lambda> at 0x7eb3c62986d0>,2024-11-17,Major its election community according.,API Gateway,Frontend Portal,High latency observed
INC1000434,Printer not responding,"User reported being unable to connect to the VPN from remote location. Verified credentials, but issue persists.",Software,Operating System,Medium,Resolved,Anthony Romero,2024-10-28,Some case hand development remember inside.,Authentication Server,Frontend Portal,Firewall blocking traffic
INC1000435,Unauthorized access attempt detected,Application response time has significantly degraded. Users facing performance issues.,Database,Timeout,Critical,New,<function <lambda> at 0x7eb3c62986d0>,2024-10-27,Seat staff front.,API Gateway,Frontend Portal,No connectivity issues detected.
INC1000436,"

received from: zjcsqtdn.jikyworg@gmail.com

mit freundlichen grÃ¼ÃŸen / with best ","

received from: zjcsqtdn.jikyworg@gmail.com

mit freundlichen grÃ¼ÃŸen / with best ",Database,Performance,High,Resolved,Taylor Garner,2024-07-02,Artist by nor defense.,Database Cluster A,Data Warehouse,Complete network outage
INC1000437,Database connection timeout,Printer is not responding to print commands. Restarting the printer did not resolve the issue.,Network,VPN,High,On Hold,Douglas Tyler,2024-05-26,Economy along miss bit.,API Gateway,Frontend Portal,No connectivity issues detected
INC1000438,User unable to access VPN,Database connections are timing out frequently. Impacting multiple users.,Software,Database,Critical,Closed,Cory Morton,2024-06-11,Issue resolved following standard procedures.,Messaging Queue,Mobile App,No connectivity issues detected.
INC1000439,Laptop not powering on,Printer is not responding to print commands. Restarting the printer did not resolve the issue.,Hardware,Laptop,High,Closed,Joseph Chandler,2024-05-14,Speech occur become result section fear.,API Gateway,Data Warehouse,High latency observed
INC1000440,System crash after update,Security logs indicate an unauthorized login attempt from an unknown IP address.,Database,Timeout,High,Closed,Sara Morales,2024-05-06,Turn factor usually community series race character.,API Gateway,Data Warehouse,Intermittent network drops
INC1000441,Laptop not powering on,Suspicious phishing email received with a link to an unknown site. Needs investigation.,Database,Backup Failure,Medium,Resolved,Joshua Oneal,2024-08-29,New whatever magazine lot explain record find young.,API Gateway,Data Warehouse,No connectivity issues detected
INC1000442,business_client not working,business_client not working,Network,Switch,High,Closed,Anthony Romero,2024-09-12,Improve water with major.,Database Cluster A,Frontend Portal,No connectivity issues detected.
INC1000443,"

received from: xlvuhjea.mjugvtnd@gmail.com

dear it help desk = i am unable to navigate out via internet explorer to places like collaboration_platform or purchasing.  also, skype will not open for me, and i can't see other people's availability on outlook or skype.  please help
yes, i've tried logging off and on, and removing the battery
no, i haven't recently changed my homepage, but yes, i did recently change my password using password_management_tool.  let me know of any questions.  ","

received from: xlvuhjea.mjugvtnd@gmail.com

dear it help desk = i am unable to navigate out via internet explorer to places like collaboration_platform or purchasing.  also, skype will not open for me, and i can't see other people's availability on outlook or skype.  please help
yes, i've tried logging off and on, and removing the battery
no, i haven't recently changed my homepage, but yes, i did recently change my password using password_management_tool.  let me know of any questions.  ",Network,Switch,Medium,Cancelled,Heidi Clark,2024-05-05,Issue resolved following standard procedures.,Authentication Server,Reporting Engine,Packet loss detected
INC1000444,Database connection timeout,Database connections are timing out frequently. Impacting multiple users.,Security,Malware,High,Closed,Joshua Green,2024-04-30,Everyone seek season gas one front analysis.,Firewall System,Access Control System,VPN connectivity unstable
INC1000445,blank call with noise,blank call with noise,Database,Timeout,High,In Progress,<function <lambda> at 0x7eb3c62986d0>,2024-09-03,Issue resolved following standard procedures.,Authentication Server,Data Warehouse,Firewall blocking traffic
INC1000446,"hi khadfhty,

today, i created another lean event but still the certificates are not sent automatically to the recipient's. i can see the certificates in the certificate list section. also, co-facilitator 2 name is not appearing in the certificate. same happened for the past event too.

request you to kindly fix this issue on priority.
","hi khadfhty,

today, i created another lean event but still the certificates are not sent automatically to the recipient's. i can see the certificates in the certificate list section. also, co-facilitator 2 name is not appearing in the certificate. same happened for the past event too.

request you to kindly fix this issue on priority.
",Software,Operating System,Medium,Resolved,Andrew Davis,2024-04-27,Issue resolved following standard procedures.,General System,Mobile App,VPN connectivity unstable
INC1000447,windows acccount lockout,windows acccount lockout,Hardware,Monitor,Low,Resolved,Monica Miller,2024-06-08,Worry process group system.,Messaging Queue,Frontend Portal,High latency observed
INC1000448,Laptop not powering on,Security logs indicate an unauthorized login attempt from an unknown IP address.,Security,Phishing,Low,Cancelled,Stephen Carpenter,2024-11-19,Possible travel fact college surface pay.,Authentication Server,Mobile App,VPN connectivity unstable
INC1000449,Laptop not powering on,Laptop does not boot up. Power button unresponsive even after multiple attempts.,Hardware,Printer,Low,New,Justin Sweeney,2025-02-12,Man traditional parent discuss firm run.,Messaging Queue,Data Warehouse,Complete network outage
INC1000450,Phishing email received,Printer is not responding to print commands. Restarting the printer did not resolve the issue.,Security,Phishing,Critical,On Hold,Gregory Fletcher,2024-10-08,Through cause approach.,API Gateway,Access Control System,Packet loss detected
INC1000451,User unable to access VPN,Printer is not responding to print commands. Restarting the printer did not resolve the issue.,Security,Unauthorized Access,High,In Progress,Sara Morales,2024-06-11,Issue resolved following standard procedures.,API Gateway,Mobile App,No connectivity issues detected.
INC1000452,"good day.

please unlock users windows account.","good day.

please unlock users windows account.",Network,Switch,High,Resolved,Susan Torres,2025-01-22,Issue resolved following standard procedures.,Database Cluster A,Frontend Portal,High latency observed
INC1000453,User unable to access VPN,Application response time has significantly degraded. Users facing performance issues.,Network,Switch,High,New,Joshua Oneal,2024-08-13,Someone open professor upon under garden.,Database Cluster A,Frontend Portal,No connectivity issues detected.
INC1000454,Phishing email received,Emails are being delayed or not delivered. Users experiencing intermittent issues.,Software,Operating System,High,Resolved,James Wood,2024-08-09,Woman weight fly rise.,Authentication Server,Mobile App,No connectivity issues detected.
INC1000455,Laptop not powering on,Database connections are timing out frequently. Impacting multiple users.,Security,Malware,Low,New,Stephen Carpenter,2024-06-23,Although appear quite note toward.,Authentication Server,Access Control System,No connectivity issues detected
INC1000456,Firewall policy misconfiguration,Laptop does not boot up. Power button unresponsive even after multiple attempts.,Network,Firewall,Low,New,Justin Sweeney,2024-07-30,Card risk professor computer across person.,Authentication Server,Reporting Engine,VPN connectivity unstable
INC1000457,User unable to access VPN,Application response time has significantly degraded. Users facing performance issues.,Hardware,Monitor,Low,Closed,Justin Sweeney,2025-02-04,Bring same left performance mind.,Messaging Queue,Mobile App,No connectivity issues detected.
INC1000458,Laptop not powering on,Printer is not responding to print commands. Restarting the printer did not resolve the issue.,Security,Policy Violation,High,Cancelled,Jon Dudley,2025-03-06,Sometimes mission foreign specific.,Authentication Server,Data Warehouse,VPN connectivity unstable
INC1000459,outlook is not working . i've updated the sp 2 but .. nothing,outlook is not working . i've updated the sp 2 but .. nothing,Network,Firewall,High,Closed,Joshua Oneal,2025-01-11,Great heavy rest per seven successful teacher able.,Authentication Server,Reporting Engine,No connectivity issues detected.
INC1000460,Slow application performance,Suspicious phishing email received with a link to an unknown site. Needs investigation.,Database,Connection Issue,Medium,Cancelled,Billy Davis,2024-05-22,Issue resolved following standard procedures.,Messaging Queue,Data Warehouse,No connectivity issues detected.
INC1000461,Laptop not powering on,Application response time has significantly degraded. Users facing performance issues.,Network,Switch,Medium,New,Joshua Oneal,2024-07-06,Herself order college great interest.,Authentication Server,Reporting Engine,Intermittent network drops
INC1000462,Phishing email received,Emails are being delayed or not delivered. Users experiencing intermittent issues.,Hardware,Monitor,High,New,<function <lambda> at 0x7eb3c62986d0>,2024-05-04,Form forward sit television activity air choice common.,General System,Data Warehouse,No connectivity issues detected.
INC1000463,Slow application performance,Application response time has significantly degraded. Users facing performance issues.,Software,Operating System,High,On Hold,Douglas Tyler,2024-05-30,Yes vote affect read rule.,Database Cluster A,Frontend Portal,High latency observed
INC1000464,Slow application performance,"User reported being unable to connect to the VPN from remote location. Verified credentials, but issue persists.",Hardware,Laptop,Medium,In Progress,William Rodgers,2025-03-19,Work kid such term.,Database Cluster A,General User Interface,No connectivity issues detected
INC1000465,Firewall policy misconfiguration,Printer is not responding to print commands. Restarting the printer did not resolve the issue.,Software,Email,High,In Progress,Jessica Jones,2025-02-10,Condition arm cost especially defense easy.,Authentication Server,General User Interface,VPN connectivity unstable
INC1000466,Firewall policy misconfiguration,Misconfigured firewall rules are blocking internal traffic. Needs urgent review.,Database,Connection Issue,Medium,On Hold,April Robertson,2025-01-06,I boy political bed drug enjoy.,Database Cluster A,Data Warehouse,Complete network outage
INC1000467,Database connection timeout,System crashed after applying latest OS update. Issue needs rollback or fix.,Software,Email,High,In Progress,<function <lambda> at 0x7eb3c62986d0>,2024-09-17,Issue resolved following standard procedures.,Messaging Queue,Reporting Engine,No connectivity issues detected.
INC1000468,Laptop not powering on,Database connections are timing out frequently. Impacting multiple users.,Software,Operating System,High,Resolved,<function <lambda> at 0x7eb3c62986d0>,2024-12-19,Four event himself top.,API Gateway,Mobile App,No connectivity issues detected.
INC1000469,i just changed my password and now my company center account does not show the option to choose 1101 in the sales org.  login info:  bfrgtonersp  au45gdec22,i just changed my password and now my company center account does not show the option to choose 1101 in the sales org.  login info:  bfrgtonersp  au45gdec22,Software,Application Access,Low,On Hold,Jessica Jones,2024-12-19,Mention forward way put herself party should.,General System,Frontend Portal,Firewall blocking traffic
INC1000470,Email delivery issue reported,Printer is not responding to print commands. Restarting the printer did not resolve the issue.,Network,Firewall,Critical,Resolved,Mary Mills,2024-09-04,Citizen success drug professor information.,Database Cluster A,Mobile App,Intermittent network drops
INC1000471,"received from: monitoring_tool@company.com

job Job_593 failed in job_scheduler at: 10/24/2016 04:05:00","received from: monitoring_tool@company.com

job Job_593 failed in job_scheduler at: 10/24/2016 04:05:00",Software,Application Access,Medium,Resolved,Heidi Clark,2024-12-30,Those general increase trade every.,API Gateway,General User Interface,High latency observed
INC1000472,"unable to install engineering_tools. 

t +","unable to install engineering_tools. 

t +",Security,Unauthorized Access,Medium,Cancelled,Joshua Green,2024-08-23,Yet machine man third.,Authentication Server,Mobile App,Packet loss detected
INC1000473,"what type of outage:  __x___network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    _____yes____     (yes/no/na) 

2. when did it start  ?   _________6:24pm et on 09/13/16____________

3.  scheduled maintenance ( power) ? ___no____    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ____no___    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ___yes___    (yes/no/na) 

6. backup circuit active ?   ____no____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   _____na______   (yes/no/na) 

9. equipment reset ?    ______na_____    (yes/no/na) 

10. verified site working on backup circuit ?  ___na____     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics","what type of outage:  __x___network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    _____yes____     (yes/no/na) 

2. when did it start  ?   _________6:24pm et on 09/13/16____________

3.  scheduled maintenance ( power) ? ___no____    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ____no___    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ___yes___    (yes/no/na) 

6. backup circuit active ?   ____no____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   _____na______   (yes/no/na) 

9. equipment reset ?    ______na_____    (yes/no/na) 

10. verified site working on backup circuit ?  ___na____     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",Software,Application Access,Critical,On Hold,Mary Mills,2025-01-19,Ago rock live.,Database Cluster A,General User Interface,VPN connectivity unstable
INC1000474,Laptop not powering on,Laptop does not boot up. Power button unresponsive even after multiple attempts.,Network,Switch,Low,On Hold,Mary Lamb,2024-05-12,Enjoy record generation why.,Messaging Queue,Mobile App,Firewall blocking traffic
INC1000475,"production order 226061609 is locked by user, gtxuamif pamxszek. no one has been able to unlock. can this order be unlocked?

inspection lot 040001149576588 is being processed by gtxuamif pamxszek","production order 226061609 is locked by user, gtxuamif pamxszek. no one has been able to unlock. can this order be unlocked?

inspection lot 040001149576588 is being processed by gtxuamif pamxszek",Database,Backup Failure,Medium,In Progress,<function <lambda> at 0x7eb3c62986d0>,2024-05-16,Approach nature machine school recently foot base.,API Gateway,Data Warehouse,Intermittent network drops
